Station_Code,Station_Name,State_Name,Minimum_Temperature,Maximum_Temperature,Minimum_DissolvedO2,Maximum_DissolvedO2,Minimum_pH,Maximum_pH,Minimum_Conductivity,Maximum_Conductivity,Minimum_BOD,Maximum_BOD,Minimum_NitrateN_and_NitriteN,Maximum_NitrateN_and_NitriteN,Minimum_Fecal_Coliform,Maximum_Fecal_Coliform,Minimum_Total_Coliform,Maximum_Total_Coliform
2708,"SURYA RIVER AT INTAKE OF VASAI- VIRAR W/S SCHEME, MASVAN,
PALGHAR, THANE",MAHARASHTRA,25,31,4.3,7.4,6.8,8.4,97,58300,3,11,BDL,1.6,2,280,2,1600
2709,"TANSA RIVER NEAR ROAD BRIDGE,
VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,21,32,6.9,7.4,7.3,8,74,288,3,4,0.1,1.2,4,350,11,1600
1093,"ULHAS AT U/S OF NRC BUND AT
MOHANE, KALYAN, THANE",MAHARASHTRA,25,32,6.4,7.4,6.7,8,97,3285,3,4,0.3,1.7,2,110,12,540
1094,"ULHAS AT U/S OF BADLAPUR,
KULGAON, AMBERNATH, THANE",MAHARASHTRA,24,32,6,7.4,6.6,7.9,64,958,3,4,0.1,2.1,11,79,33,920
2162,"ULHAS RIVER AT JAMBHUL WATER WORKS, JAMBHUL, AMBERNATH,
THANE",MAHARASHTRA,25,32,6.3,7.5,6.6,8,77,188,3,4,0.1,1.8,4,110,33,1600
2712,"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE",MAHARASHTRA,22,32,7,7.3,7.2,8,82,277,3,4,0.2,1.4,23,240,49,1600
2164,"VASHISTI RIVER AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI, CHIPLUN,
RATNAGIRI",MAHARASHTRA,26,28,5.5,7,6.7,8.1,60,397,1.8,2.6,0.06,0.64,2,8,21,79
2713,"VASHISTI RIVER AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL, KHERDI,CHIPLUN,
RATNAGIRI",MAHARASHTRA,26,28,4,6.9,6.9,7.8,54,12900,1.8,4,0.05,1.08,2,12,24,84
2714,"VASHISTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE,
CHIPLUN, RATNAGIRI",MAHARASHTRA,26,28,5.2,7,7.3,7.8,59,10410,1.8,2.8,0.03,0.94,2,9,17,70
1424,IMPHAL AT MAHABALI,MANIPUR,17,30,3.1,8.1,6.9,7.7,105,408,1.4,6.9,0.02,0.03,2,75,115,500
1457,IMPHAL AT KOIRENGEI,MANIPUR,16,29,6.9,7.9,7.1,7.7,100,516,2.4,4.3,0.02,0.03,2,45,34,400
1627,IMPHAL AT KIYAMGI,MANIPUR,17,30,7.3,8.2,7,7.8,125,4225,2.7,4.3,0.03,0.03,2,35,160,350
1628,IMPHAL AT MINUTHONG,MANIPUR,17,28,3.1,7.1,6.8,7.6,120,445,2,4,0.03,0.03,2,30,240,600
2861,"KANGLA MOAT, IMPHAL WEST",MANIPUR,18,29,5.3,7.6,6.9,7.8,190,460,2,4.5,0.02,0.04,2,45,80,395
2862,IMPHAL RIVER AT SAMUROU,MANIPUR,17,30,4.1,7.7,6.3,7.4,110,420,2.1,4.9,0.03,0.03,2,135,55,395
2864,IMPHAL RIVER AT SEKMAI,MANIPUR,16,30,3.9,7.8,7,7.9,90,482,2,3.2,0.03,0.03,2,65,30,290
2874,IRANG RIVER AT TAMENGLONG,MANIPUR,19,19,6.7,6.7,7.6,7.6,234,234,2.5,2.5,0.03,0.03,-,-,30,30
1458,IRIL AT PORAMPET,MANIPUR,17,30,6.8,8.1,7,7.7,130,482,2.7,3.9,0.02,0.17,2,25,120,380
1624,IRIL AT LILONG,MANIPUR,18,30,7.1,8.3,7.2,7.9,94,411,2.7,3.8,0.03,0.03,2,50,105,370
2863,IRIL RIVER AT KANGLA SIPHAI,MANIPUR,16,29,7,8.1,7,7.6,115,390,2,3.8,0.03,0.03,2,20,45,200
2873,IRIL RIVER AT LILONG,MANIPUR,17,28,5.3,7.8,7.1,7.6,150,458,2.3,3.8,0.03,0.03,2,45,105,295
1925,KHUGA RIVER (LOCATION PL),MANIPUR,16,30,6.9,8.1,6.9,7.6,65,407,2.7,4.4,0.02,0.03,2,55,40,350
2877,KHUGA DAM ON KHUGA RIVER,MANIPUR,17,30,4.4,7.9,7,7.7,91,340,1.8,3.8,0.03,0.03,2,10,30,300
1926,"KHUJAIROK RIVER, MOREH",MANIPUR,18,31,6.6,7.9,7.1,7.8,65,460,2.6,4.2,0.02,0.03,55,152,35,555
2878,LOKCHAO RIVER AT BISHNUPUR,MANIPUR,16,29,6.8,7.6,7,7.6,135,452,2.8,4.4,,,2,30,20,375
2867,MAHA RIVER AT CHANDEL,MANIPUR,17,30,6.4,7.8,7,7.5,150,470,2.6,4.7,0.03,0.03,2,40,15,450
2852,MANIPUR RIVER AT SEKMAIJAN,MANIPUR,15,28,7.2,8.1,7.1,7.6,150,401,2.9,3.9,0.02,0.03,2,45,70,300
2857,MANIPUR RIVER AT THOUBAL,MANIPUR,17,28,7.2,8.2,7.1,7.4,190,476,2.6,4.1,0.03,0.03,2,55,135,200
2879,ETHAI BARRAGE ON MANIPUR RIVER,MANIPUR,15,28,6.3,7.8,7.1,7.8,130,439,2.1,4,0.02,0.03,2,35,50,200
1625,NAMBUL AT HUMP BRIDGE,MANIPUR,19,31,3.7,6.2,6,7.9,270,1410,5.2,6,0.03,0.04,2,180,425,800
1626,NAMBUL AT HEIRANGOITHONG,MANIPUR,19,31,3.8,5.6,6.2,7.9,270,1220,5.1,6.2,0.03,0.03,2,205,410,790
2858,NAMBUL RIVER AT SAMUSANG (U.K. ROAD),MANIPUR,18,30,4.6,5.9,6,7.8,288,643,2,5.6,0.03,0.03,2,90,140,580
2859,SINGDA DAM AT NAMBUL RIVER,MANIPUR,18,31,6.8,8.5,7.1,7.5,70,224,2.7,4,0.02,0.03,2,5,30,85
2860,NAMBUL RIVER AT NAOREMTHONG,MANIPUR,19,30,4.1,6.8,5.8,7.9,160,624,3.1,4.8,0.02,0.03,2,85,160,440
2880,NAMBUL RIVER AT BISHNUPUR,MANIPUR,17,28.2,4.8,7.8,6.9,7.4,130,516,1.8,4.5,0.03,0.03,2,65,50,250
1927,"SEKMAI RIVER, KAKCHING",MANIPUR,16,28,7.1,7.9,7.1,7.8,29,389,2.7,3.8,0.03,0.03,2,60,125,250
2856,THOUBAL RIVER AT YAIRIPOK,MANIPUR,17,28.3,6.9,7.9,6.9,7.6,170,550,2.9,4.4,0.03,0.04,2,60,170,350
2870,THOUBAL RIVER AT SHONG KONG,MANIPUR,19,29,7,8.3,7,7.6,170,305,2.6,3.7,,,2,10,35,180
2872,THOUBAL RIVER AT LITAN,MANIPUR,19,30,7.2,8.5,7.1,7.9,122,360,2.7,4.9,0.03,0.03,2,20,75,180
2855,WANGJING RIVER AT HEIROK,MANIPUR,16,28,7.1,8.4,7,7.4,127,387,2.2,3.8,0.02,0.03,2,75,150,400
2876,"WANGJING RIVER AT WANGJING,",MANIPUR,17,29,7.2,8.3,6.9,7.6,120,420,2.6,4.4,0.02,0.04,2,55,100,305
3383,BUGI RIVER AT MIBANPARA,MEGHALAYA,17,28,6.8,7.5,7,7.8,62,144,1.5,2.3,0.29,0.51,8,32,84,280
3384,BUGI RIVER AT DALU,MEGHALAYA,17,30,6.3,7.5,6.8,7.8,71,150,1.5,7.1,0.25,0.52,12,38,70,170
1632,GANOL RIVER TURA,MEGHALAYA,17,30,7,8,7.1,7.8,64,87,1,1.8,0.4,0.57,170,1400,410,2200
4112,GAROBADHA,MEGHALAYA,18,30.9,6.3,7.7,7.1,7.5,68,110,1.1,2,0.31,0.47,79,1100,130,2100
1428,"KYRHUKHLA NEAR SUTNGA KHLIERIAT,
JAINTIA HILLS",MEGHALAYA,15,26,6,7.6,2.7,4.4,190,700,3.2,5.5,0.2,0.3,2,14,4,58
3375,"LUKHA RIVER AT MYNDIHATI
(TRIBUTARY OF LUNAR)",MEGHALAYA,14,26,5,7.2,2.3,3.3,1000,1480,3.3,5.5,0.2,0.36,2,2,2,12
3376,"LUKHA RIVER AT SUNAPUR (TRIBUTARY
OF LUNAR)",MEGHALAYA,15,32,7.4,8,6.7,7.3,142,430,1.2,1.8,0.42,0.85,13,49,110,280
1631,MYNTDU RIVER JOWAI,MEGHALAYA,12,22,6.1,7.4,6.6,7.1,59,72,3.2,6.5,0.46,0.65,210,2400,700,4900
3379,"MYNTDU RIVER AT LESHKA, JAYANTIA
HILLS",MEGHALAYA,14,27,6,7.7,5,6.6,40,72,1.2,1.9,0.28,0.47,11,26,63,170
1633,SIMSANG RIVER WILLIAMNAGAR,MEGHALAYA,18,29,7,7.7,7.1,7.6,67,94,1.3,1.8,0.32,0.54,110,410,430,2700
4111,NANGALBIBRA BRIDGE,MEGHALAYA,17,30.2,6.8,7.7,6.3,7.4,62,89,1,1.7,0.45,0.56,17,94,94,920
4326,SIMSANG RIVER AT BAGHMERE,MEGHALAYA,18,30,7,7.7,6.9,7.5,72,89,1.1,1.9,0.04,0.44,2,140,120,430
3353,"UMIAM MAWPHLANG RIVER AT
NONGKREM",MEGHALAYA,10,19,6,7.6,6.8,7.2,50,130,1.2,2.2,0.37,1.52,14,32,170,320
3354,"UMIAM MAWPHLANG RIVER AT
UMTYNGNGAR",MEGHALAYA,9,22,6.4,7.6,6.8,7.3,40,72,1.6,2.4,0.33,0.84,11,31,140,240
3355,UMIAM MAWPHLANG RIVER AT MAWPHLANG,MEGHALAYA,9,21,7,7.6,6.7,7.3,30,44,1.5,1.8,0.5,1.1,12,26,120,280
3356,UMIAM MAWPHLANG RIVER AT SHELLA,MEGHALAYA,16,24,6.9,8,7.6,7.9,108,130,1,1.5,0.35,0.69,2,27,94,350
3350,"UMKHEN RIVER AT WAH KDAIT,",MEGHALAYA,13,19,6.5,7.4,7,7.3,48,66,1.6,7.4,1,1.7,17,36,140,350
3351,"UMKHEN RIVER AT KSEHPONGDENG,",MEGHALAYA,13,19,6.6,7.9,6.8,7.5,41,58,1.1,1.9,0.35,0.47,12,32,70,210
3352,UMKHEN RIVER AT DIENGPASOH,MEGHALAYA,13,19,7,7.6,7.3,7.8,44,60,1.4,2.2,0.54,1,6,24,110,280
3359,"UMKHRAH RIVER AT DEMTHRING,
SHILLONG",MEGHALAYA,9,20,0.8,3.8,6.8,7.6,215,737,21,50,0.36,6.24,21000,110000,46000,240000
3360,"UMKHRAH RIVER ATUMKALIAR,
SHILLONG",MEGHALAYA,10,19,2.5,8.2,6.8,7.5,225,380,10.5,40,0.64,6.45,8400,110000,23000,280000
3361,"UMKHRAH RIVER AT MAWLAI, NEAR
SLAUGHTER HOUSE",MEGHALAYA,9,19,0.5,3.4,7.3,7.9,285,450,24,56,0.28,1.68,23000,210000,76000,460000
3362,"UMKHRAH RIVER AT MAWPDANG,
MAWLAI",MEGHALAYA,9,19,0.8,3.4,6.9,8.1,427,550,26,40,0.27,0.74,27000,230000,84000,490000
3357,"UMNGOT RIVER AT SMIT,",MEGHALAYA,10,19,6.4,7.9,6.7,7.2,39,55,1.2,2.7,0.23,0.96,10,27,130,280
3358,UMNGOT RIVER AT DAWKI,MEGHALAYA,18,26,7,8.2,7,7.6,50,75,1,1.7,0.28,0.56,2,26,110,210
3363,UMSHYRPI RIVER AT RISA COLONY,MEGHALAYA,9,20,6.9,7.8,6.7,7.3,37,58,1.2,2.8,0.4,0.64,11,34,94,170
3364,"UMSHYRPI RIVER AT LAW COLLEGE,
DHANKETI,",MEGHALAYA,9,19,0.5,3.5,6.8,7.6,170,465,24,44,0.33,1,22000,130000,58000,280000
3365,UMSHYRPI RIVER AT UMSHYRPI BRIDGE,MEGHALAYA,9,18,3,6,6.7,7.3,15,458,13,31,0.45,2.27,9100,79000,33000,240000
1427,UMTREW AT BYRNIHAT EAST,MEGHALAYA,16.5,29,5.4,7.5,6.9,7.4,67,84,3.3,5.8,0.4,1.1,120,700,630,3300
3366,"UMTREW RIVER AT UMRAN,",MEGHALAYA,16,27,6,7.6,6.9,8,25,84,1.4,5.4,0.31,0.84,38,120,220,840
2444,CORINGA RIVER (TIDAL LOCK),PUDUCHERRY,26.5,26.5,6.6,6.6,7.7,7.7,7190,7190,BDL,BDL,0.37,0.37,-,-,-,-
2442,"GAUTAMI-GODAVARI RIVER NEAR
BALAYOGI BRIDGE",PUDUCHERRY,27,27,7,7,7.7,7.7,9110,9110,BDL,BDL,0.34,0.34,-,-,-,-
2443,GAUTAMI-GODAVARI RIVER NEAR ADAVIPOLAM,PUDUCHERRY,26.5,26.5,6.6,6.6,7.5,7.5,12940,12940,0.1,0.1,0.34,0.34,-,-,-,-
2445,MAHE RIVER,PUDUCHERRY,29,29,6.3,6.3,7.4,7.4,2940,2940,BDL,BDL,0.24,0.24,-,-,-,-
1023,"GHAGGAR AT MUBARAKPUR REST
HOUSE (PATIALA), PUNJAB",PUNJAB,12,35,4.3,6.9,7.1,8.1,288,630,4,17,0.69,4.63,1700,4300,14000,28000
1024,"GHAGGAR AT 100M D/S CONF. WITH R.
SARASWATI (PATIALA), PUNJAB",PUNJAB,12,34,1.8,3.8,7.1,8.1,472,1248,10,46,0.7,1.61,2100,7000,17000,28000
1295,"GHAGGAR NEAR BANKARPUR, DERA
BASSI, PUNJAB",PUNJAB,12,35,2.7,4.7,7.2,7.8,435,898,5,50,0.78,1.94,2100,9200,21000,63000
1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.), PUNJAB",PUNJAB,10,32,1.8,4.3,7.3,8,620,1452,10,42,0.6,0.98,2100,7000,21000,35000
1698,"GHAGGAR AT D/S CHHATBIR, PUNJAB",PUNJAB,14,34,1.9,4.9,7.1,7.8,417,952,11,28,0.72,1.13,2200,7000,21000,49000
1699,"GHAGGAR AT U/S DHAKANSU NALLAH,
PUNJAB",PUNJAB,11,30,2.7,4.4,7.3,7.8,328,998,4,21,0.58,0.91,1400,6300,13000,35000
1700,"GHAGGAR AT D/S DHAKANSU NALLAH,
PUNJAB",PUNJAB,12,29,2.3,4,7.2,7.9,532,1200,10,26,0.74,1.3,1700,6800,15000,41000
1701,"GHAGGAR AT D/S JHARMAL NADI,
PUNJAB",PUNJAB,12,36,2.6,3.6,7.3,7.9,451,1240,9,25,0.72,1.32,1700,5800,17000,35000
1702,"GHAGGAR AT U/S JHARMAL NADI,
PUNJAB",PUNJAB,13,34,3.1,4.4,7.2,7.8,323,980,8,21,0.62,0.93,1400,3400,14000,24000
1703,"GHAGGAR AT MOONAK, PUNJAB",PUNJAB,14,34,2.2,4.2,7.1,8,510,1330,12,35,0.69,1.29,2300,5800,22000,35000
1704,"GHAGGAR AT D/S SARDULGARH,
PUNJAB",PUNJAB,14,33,BDL,5.9,7.5,7.9,394,1410,8,64,0.51,1.02,1700,8400,17000,35000
1705,"GHAGGAR AT U/S SARDULGARH,
PUNJAB",PUNJAB,14,34,BDL,6.5,7.4,7.9,313,1390,6,60,0.32,0.93,1500,4100,12000,24000
4159,"RIVER GHAGGAR U/S BEFORE MIXING WITH SAGARPARA DRAIN AT VILL
RASOULI, DIST PATIALA",PUNJAB,13,34,1.6,4.3,7,8.1,651,1840,11,59,0.75,1.21,1700,6300,21000,46000
4160,"D/S AFTER MIXING WITH SAGARPARA DRAIN AT VILL RASOULI, PATIALA",PUNJAB,13,36,BDL,3.6,7,8,750,2040,14,66,0.66,1.49,3100,9200,24000,48000
4162,"CONFLUENCE POINT OF SUKHANA CHOE WITH RIVER GHAGGAR, VILL
MUBARKPUR",PUNJAB,13,35,BDL,BDL,7,8,731,1227,30,210,0.98,2.51,49000,210000,140000,430000
2948,"HEMAWAS DAM, PALI, RAJASTHAN",RAJASTHAN,18.5,24,-,-,7.8,8.4,140,570,-,-,1.54,2.1,7,93,21,150
2947,"JAWAI DAM, SIROHI, RAJASTHAN",RAJASTHAN,14,31.5,-,-,7.4,8.6,300,610,-,-,1.54,2.36,7,75,21,120
2949,"RANAKPUR DAM, RANAKPUR, PALI, RAJASTHAN",RAJASTHAN,18,29,-,-,7.8,8.7,270,1810,-,-,1.54,2.2,7,75,20,120
1450,"PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAMILNADU",TAMIL NADU,24,31,5.3,6.7,7.3,7.3,920,1389,2,2,0.54,1.05,BDL,18,2,40
1159,"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM,
TAMILNADU",TAMIL NADU,22,34,6.2,8,6,7.1,26,307,BDL,3.3,0.01,1.06,2,18,4,55
1160,"TAMBIRAPARANI AT CHERANMADEVI, CAUSE WAY, TAMILNADU",TAMIL NADU,25,27,6.6,7.6,5.8,6.8,36,692,BDL,5.2,0.01,1.58,2,41,6,120
1161,"TAMBIRAPARANI AT TIRUNELVELI,
COLLECTORATE, TAMILNADU.",TAMIL NADU,25,29,4.3,7.4,6.1,7.1,51,1132,BDL,5.5,0.06,1.64,4,63,8,170
1162,"TAMBIRAPARANI AT MURAPPANADU, TAMILNADU",TAMIL NADU,24,29,5.9,7.9,6.3,7.4,90,274,BDL,6.4,0.02,2.44,4,50,9,140
1328,"TAMBIRAPARANI AT PAPPANKULAM, TAMILNADU",TAMIL NADU,25,26,5,7.9,5.7,6.8,29,481,BDL,4.2,0.02,1.16,2,17,6,70
1329,"TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM, TAMILNADU",TAMIL NADU,23,24,6.4,8.2,5.8,7,28,471,BDL,3.5,0.05,0.98,2,17,4,63
1330,"TAMBIRAPARANI AT ARUMUGANERI,
TAMILNADU",TAMIL NADU,25,29,3,7.5,6.2,7.7,135,2540,BDL,5.5,0.06,1.08,2,70,9,210
3025,"TAMBIRAPARANI AT ERAL,
THOTHUKUDI, TAMILNADU",TAMIL NADU,25,29,4.3,7.8,6.5,7.3,255,565,2.4,5.8,0.08,1.4,20,84,40,140
3026,"TAMBIRAPARANI AT KALLIDAI KURICHI,
TIRUNELVELI, TAMILNADU",TAMIL NADU,24,25,6.7,8,5.8,6.9,32,491,BDL,4,0.02,1.01,2,13,6,49
3027,"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI,
TAMILNADU",TAMIL NADU,26,29,4,7,6.3,7.5,160,1044,2.3,6.4,0.01,9.13,12,70,34,210
3028,"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI, TAMILNADU",TAMIL NADU,25,29,2.5,7.4,6.2,6.8,55,184,BDL,3,0.02,1.66,7,23,17,70
3029,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI,
TIRUNELVELI, TAMILNADU",TAMIL NADU,25,30,2.9,7.1,6.2,7,56,253,BDL,6,0.02,2.36,5,70,14,210
10062,"RIVER TAMRABARANI AT TIRUNELVELI
D/S",TAMIL NADU,25,25,6,6,7,7,286,286,2.2,2.2,0.02,0.02,84,84,170,170
3405,"BURIGAON RIVER AT BISHALGARH,
WEST TRIPURA",TRIPURA,21,28,6.5,7.9,6.6,7.4,114,189,1.1,2.7,0.26,2.73,11,170,110,220
3422,"DEO RIVER AT PECHARTHAL D/S, NORTH
TRIPURA",TRIPURA,21,27,6.2,7.6,6.9,7.4,106,177,1.2,2.5,0.21,1.61,58,120,150,220
3414,"DHALAI RIVER AT CHANDRAIPARA, D/S
OF AMBASSA TOWN, DHALAI",TRIPURA,20,28,6.2,7.5,6.9,7.8,113,174,0.7,2.5,0.17,2.46,46,110,130,220
3415,"DHALAI RIVER AT KAMALPUR D/S,
DHALAI",TRIPURA,20.5,28,5.7,7.5,7,7.7,102,177,0.5,2.6,0.2,1.35,31,130,110,240
3416,"DHALAI RIVER AT MANIK BHANDHER,
DHALAI",TRIPURA,21,27.5,6.3,7.6,7,7.4,119,193,1.1,2.6,0.21,1.1,46,120,120,220
3410,"FENI RIVER AT SABROOM (INTERSTATE BOUNDARY), SOUTH TRIPURA",TRIPURA,21,28,6.5,7.9,6.8,7.7,111,167,0.9,2.8,0.25,1.34,43,150,110,220
3411,"FENI RIVER AT CHOTOKHIL BATTALA, SOUTH TRIPURA",TRIPURA,21,28,6.5,7.9,6.7,7.4,117,181,0.8,2,0.3,111.28,63,120,110,220
1403,"GUMTI AT U/S SOUTH TRIPURA, TRIPURA",TRIPURA,20.5,27.5,6,7.4,6.1,7.7,111,191,0.6,2.8,0.28,1.09,94,150,150,280
1404,"GUMTI AT D/S SOUTH TRIPURA, TRIPURA",TRIPURA,20.5,27.5,5.8,7.7,6.7,7.7,118,212,0.6,2.7,0.17,1.1,70,150,130,240
3406,"GUMTI RIVER AT RAJDHARNAGAR, SOUTH TRIPURA",TRIPURA,21.5,28.5,6.1,7.9,7,7.7,106,183,0.6,1.9,0.25,2.63,63,170,150,280
3407,"GUMTI RIVER AT AMARPUR, SOUTH TRIPURA",TRIPURA,21,28,6.6,7.7,6.6,7.4,111,169,0.4,1.9,0.26,2.41,46,150,150,240
3408,"GUMTI RIVER AT THIRTHAMUKH, SOUTH TRIPURA",TRIPURA,20.5,27.5,6.5,8,6.2,7.5,109,162,0.4,1.9,0.28,1.72,31,140,140,280
3409,"GUMTI RIVER AT SUBHAS SETU,
DHAJANAGAR, D/S UDAIPUR CITY,
SOUTH TRIPURA",TRIPURA,21.5,27.5,6.1,7.6,6.6,7.3,111,163,0.6,2.9,0.35,1.67,63,170,170,280
1726,"HAORA RIVER, D/S OF CHANDRAPUR, AGARTALA D/S OF TRIPURA",TRIPURA,21,28,5.5,7.8,6.6,7.7,112,189,0.5,2.5,0.23,0.83,79,150,130,240
3397,"HAORA RIVER AT DASHAMIGHAT, WEST TRIPURA",TRIPURA,22,28,6.2,7.6,6.6,7.7,121,233,1.1,3.8,0.31,2.52,150,350,240,920
3401,"HOWRAH RIVER AT ARALIA, WEST TRIPURA",TRIPURA,21.5,27.5,6.1,7.9,6.6,7.5,109,174,0.4,2.3,0.29,3.34,70,170,170,280
3402,"HOWRAH RIVER AT KALABAGAN, WEST TRIPURA",TRIPURA,21,28,6.2,7.9,6.8,7.7,112,198,0.5,2.4,0.27,1.94,58,170,130,220
3403,"HOWRAH RIVER AT JOYNAGAR, WEST TRIPURA",TRIPURA,21,28,6.3,8.1,6.7,7.6,105,175,0.7,2.1,0.28,1.61,40,170,120,280
3421,"JURI RIVER AT KRISHNAPUR, D/S OF DHARMANAGAR, NORTH TRIPURA",TRIPURA,20,27,5.9,7.8,6.8,7.3,112,173,0.4,2.1,0.25,2.26,58,170,150,240
3398,"KHOWAI RIVER AT TRISHA BARI,
TELIAMURA, WEST TRIPURA",TRIPURA,21,27.5,6.2,7.3,6.6,7.3,110,172,0.3,2.5,0.27,2.07,70,170,150,350
3399,"KHOWAI RIVER AT KUMARI MADHUTI
SETU, WEST TRIPURA",TRIPURA,21.5,28,6.5,7.9,6.3,7.3,110,179,0.3,2.3,0.28,1.98,70,210,170,280
3400,"KHOWAI RIVER AT CHAKMAGHAT,
WEST TRIPURA",TRIPURA,21.5,27.5,6.7,7.7,6.7,7.6,111,188,0.7,2.2,0.31,2,63,170,150,280
3404,"KHOWAI RIVER AT KARAILONG,
TELIAMURA, WEST TRIPURA",TRIPURA,21,27.5,6.3,7.6,6.6,7.3,106,175,0.7,2.2,0.23,2.3,94,170,150,280
3420,"LONGAI RIVER AT DAMCHERRA (INTERSTATE BOUNDRY), NORTH
TRIPURA",TRIPURA,21,27,6.5,7.9,7,7.4,109,167,0.9,1.9,0.23,1.84,70,130,110,240
3412,"MUHARI RIVER AT BANKAR (INTERSTATE BOUNDRY), BELONIA,
SOUTH TRIPURA",TRIPURA,21.5,28,6.2,7.8,6.9,7.6,105,177,1.8,2.9,0.29,2.54,31,130,130,220
3413,"MUHARI RIVER AT MUHARICHAR, SOUTH TRIPURA",TRIPURA,21,28,5.8,7.8,6.9,7.5,110,179,1.4,2.9,0.28,2.85,48,130,120,240
